"Mun.Cod.";"Munic.da un.sa�de";"2018";"2019";"2020";"2021";" Total"
"290010";"ABAIRA";"0";"604";"0";"0";"604"
"290020";"ABARE";"707";"768";"2";"2";"1479"
"290030";"ACAJUTIBA";"0";"55";"1046";"23";"1124"
"290035";"ADUSTINA";"190";"241";"227";"101";"759"
"290040";"AGUA FRIA";"74";"54";"13";"864";"1005"
"290050";"ERICO CARDOSO";"669";"1";"0";"0";"670"
"290060";"AIQUARA";"29";"20";"5";"19";"73"
"290070";"ALAGOINHAS";"1761";"913";"4231";"210";"7115"
"290080";"ALCOBACA";"51";"1006";"39";"0";"1096"
"290090";"ALMADINA";"299";"69";"4";"0";"372"
"290100";"AMARGOSA";"83";"628";"41";"113";"865"
"290110";"AMELIA RODRIGUES";"501";"176";"83";"1439";"2199"
"290115";"AMERICA DOURADA";"175";"124";"204";"1153";"1656"
"290120";"ANAGE";"790";"7";"321";"73";"1191"
"290130";"ANDARAI";"0";"5";"866";"0";"871"
"290135";"ANDORINHA";"132";"250";"85";"167";"634"
"290140";"ANGICAL";"0";"814";"38";"22";"874"
"290150";"ANGUERA";"72";"71";"71";"525";"739"
"290160";"ANTAS";"167";"134";"126";"46";"473"
"290170";"ANTONIO CARDOSO";"455";"651";"762";"1594";"3462"
"290180";"ANTONIO GONCALVES";"281";"367";"187";"226";"1061"
"290190";"APORA";"0";"69";"727";"28";"824"
"290195";"APUAREMA";"40";"46";"39";"1";"126"
"290200";"ARACATU";"628";"0";"18";"39";"685"
"290205";"ARACAS";"426";"52";"317";"4";"799"
"290210";"ARACI";"170";"65";"140";"1955";"2330"
"290220";"ARAMARI";"2";"58";"320";"144";"524"
"290225";"ARATACA";"243";"168";"12";"48";"471"
"290230";"ARATUIPE";"55";"67";"26";"39";"187"
"290240";"AURELINO LEAL";"532";"148";"0";"13";"693"
"290250";"BAIANOPOLIS";"518";"432";"37";"28";"1015"
"290260";"BAIXA GRANDE";"23";"47";"55";"1266";"1391"
"290265";"BANZAE";"283";"274";"204";"233";"994"
"290270";"BARRA";"2055";"0";"1";"0";"2056"
"290280";"BARRA DA ESTIVA";"2012";"1237";"931";"446";"4626"
"290290";"BARRA DO CHOCA";"1327";"28";"11";"37";"1403"
"290300";"BARRA DO MENDES";"90";"104";"21";"1151";"1366"
"290310";"BARRA DO ROCHA";"104";"31";"0";"1";"136"
"290320";"BARREIRAS";"6271";"4214";"1353";"1764";"13602"
"290323";"BARRO ALTO";"37";"34";"3";"1011";"1085"
"290327";"BARROCAS";"15";"23";"80";"779";"897"
"290330";"BARRO PRETO";"294";"53";"4";"3";"354"
"290340";"BELMONTE";"5";"806";"19";"0";"830"
"290350";"BELO CAMPO";"847";"230";"112";"202";"1391"
"290360";"BIRITINGA";"67";"16";"0";"1304";"1387"
"290370";"BOA NOVA";"88";"144";"66";"10";"308"
"290380";"BOA VISTA DO TUPIM";"0";"0";"889";"0";"889"
"290390";"BOM JESUS DA LAPA";"151";"2086";"360";"0";"2597"
"290395";"BOM JESUS DA SERRA";"468";"5";"33";"13";"519"
"290400";"BONINAL";"1";"786";"0";"0";"787"
"290405";"BONITO";"1";"0";"661";"0";"662"
"290410";"BOQUIRA";"1099";"40";"88";"67";"1294"
"290420";"BOTUPORA";"353";"20";"4";"7";"384"
"290430";"BREJOES";"28";"95";"4";"20";"147"
